SUBMISSION_ID,QUESTION_ID,QUESTION_TEXT,ANSWER_TEXT,ANSWER_VALUE,SUBMITTED_ON,HEARTWARMING,WORKSHOP_CODE,WORKSHOP_SF_ID,WORKSHOP_TOPIC,WORKSHOP_REGION,WORKSHOP_LOCATION,WORKSHOP_DATE,WORKSHOP_START_TIME,WORKSHOP_END_TIME,YEAR_LEVEL,SCHOOL_ACCOUNT_ID,SCHOOL_NAME,SCHOOL_STATE,SCHOOL_REGION,SCHOOL_GEOLOCATION_LATITUDE,SCHOOL_GEOLOCATION_LONGITUDE,SCHOOL_ICSEA_PERCENTILE,SCHOOL_NUMBER_OF_ENROLEMENTS,SCHOOL_AGREEMENT_OPPORTUNITY_ID,SCHOOL_AGREEMENT_NAME,SCHOOL_AGREEMENT_STAGE,SCHOOL_AGREEMENT_CLOSE_DATE,SCHOOL_AGREEMENT_AMOUNT,FACILITATORS_LIST,MENTORS_LIST,LEAD_FACILITATOR,ATSI_IDENTIFICATION,GENDER,NUMBER_OF_STUDENTS,FACILITATOR_WORKSHOP_RATING,WAS_WORKSHOP_COMPROMISED,IF_COMPROMISED_WHAT_HAPPENED,DID_WORKSHOP_DEVIATE,IF_DEVIATED_WHAT_WAS_DIFFERENT,WORKSHOP_GEMS,ANYTHING_ELSE_TO_NOTE
d99vh0w1dstwg6nj4ogw9xhr,18A,This workshop made me more aware of the connection between my physical and mental health,AGREE,4,30/11/2025 15:00,FALSE,NKO304H2025,a0uAUguBuQqx9jR,HEALTH,NSW,180 Dubbo Rd,30/11/2025,13:00,15:00,11,001eEYqvNSzPf2v,Summit Secondary College,NSW,Dubbo,-13.421673,138.445168,38,1775,006F3IcNepOR6so,Summit Partnership 2026,Closed Won,13/04/2025,"$15,000","Sophie Wilson : sophie@lifechanger.org.au, Grace Kaur : grace@lifechanger.org.au",,sophie@lifechanger.org.au,NO,PREFER NOT TO SAY,20,4,FALSE,,TRUE,Swapped the closing activity for a longer group discussion.,,
d99vh0w1dstwg6nj4ogw9xhr,19A,The facilitator made me feel safe and respected,STRONGLY AGREE,5,30/11/2025 15:00,FALSE,NKO304H2025,a0uAUguBuQqx9jR,HEALTH,NSW,196 Dubbo Rd,30/11/2025,13:00,15:00,11,001eEYqvNSzPf2v,Summit Secondary College,NSW,Dubbo,-13.421673,138.445168,38,1775,006F3IcNepOR6so,Summit Partnership 2026,Closed Won,13/04/2025,"$15,000","Sophie Wilson : sophie@lifechanger.org.au, Grace Kaur : grace@lifechanger.org.au",,sophie@lifechanger.org.au,NO,PREFER NOT TO SAY,20,4,FALSE,,TRUE,Swapped the closing activity for a longer group discussion.,,
d99vh0w1dstwg6nj4ogw9xhr,19B,I would recommend this workshop to other students,AGREE,4,30/11/2025 15:00,FALSE,NKO304H2025,a0uAUguBuQqx9jR,HEALTH,NSW,80 Dubbo Rd,30/11/2025,13:00,15:00,11,001eEYqvNSzPf2v,Summit Secondary College,NSW,Dubbo,-13.421673,138.445168,38,1775,006F3IcNepOR6so,Summit Partnership 2026,Closed Won,13/04/2025,"$15,000","Sophie Wilson : sophie@lifechanger.org.au, Grace Kaur : grace@lifechanger.org.au",,sophie@lifechanger.org.au,NO,PREFER NOT TO SAY,20,4,FALSE,,TRUE,Swapped the closing activity for a longer group discussion.,,
d99vh0w1dstwg6nj4ogw9xhr,61A,What is the most valuable thing you have learnt today in the workshop?,Simple ways to settle myself when I start feeling anxious.,,30/11/2025 15:00,TRUE,NKO304H2025,a0uAUguBuQqx9jR,HEALTH,NSW,236 Dubbo Rd,30/11/2025,13:00,15:00,11,001eEYqvNSzPf2v,Summit Secondary College,NSW,Dubbo,-13.421673,138.445168,38,1775,006F3IcNepOR6so,Summit Partnership 2026,Closed Won,13/04/2025,"$15,000","Sophie Wilson : sophie@lifechanger.org.au, Grace Kaur : grace@lifechanger.org.au",,sophie@lifechanger.org.au,NO,PREFER NOT TO SAY,20,4,FALSE,,TRUE,Swapped the closing activity for a longer group discussion.,,
d99vh0w1dstwg6nj4ogw9xhr,62A,Is there anything we could do to make the workshop better?,"It was an introduction to stress, sleep and healthy habits.",,30/11/2025 15:00,FALSE,NKO304H2025,a0uAUguBuQqx9jR,HEALTH,NSW,87 Dubbo Rd,30/11/2025,13:00,15:00,11,001eEYqvNSzPf2v,Summit Secondary College,NSW,Dubbo,-13.421673,138.445168,38,1775,006F3IcNepOR6so,Summit Partnership 2026,Closed Won,13/04/2025,"$15,000","Sophie Wilson : sophie@lifechanger.org.au, Grace Kaur : grace@lifechanger.org.au",,sophie@lifechanger.org.au,NO,PREFER NOT TO SAY,20,4,FALSE,,TRUE,Swapped the closing activity for a longer group discussion.,,
aljzejbf7ny03vk=xtufdj,18A,This workshop made me more aware of the connection between my physical and mental health,STRONGLY AGREE,5,30/11/2025 15:00,FALSE,NKO304H2025,a0uAUguBuQqx9jR,HEALTH,NSW,152 Dubbo Rd,30/11/2025,13:00,15:00,6,001eEYqvNSzPf2v,Summit Secondary College,NSW,Dubbo,-13.421673,138.445168,38,1775,006F3IcNepOR6so,Summit Partnership 2026,Closed Won,13/04/2025,"$15,000","Sophie Wilson : sophie@lifechanger.org.au, Grace Kaur : grace@lifechanger.org.au",,sophie@lifechanger.org.au,NO,MALE,20,4,FALSE,,TRUE,Swapped the closing activity for a longer group discussion.,,
aljzejbf7ny03vk=xtufdj,19A,The facilitator made me feel safe and respected,AGREE,4,30/11/2025 15:00,FALSE,NKO304H2025,a0uAUguBuQqx9jR,HEALTH,NSW,125 Dubbo Rd,30/11/2025,13:00,15:00,6,001eEYqvNSzPf2v,Summit Secondary College,NSW,Dubbo,-13.421673,138.445168,38,1775,006F3IcNepOR6so,Summit Partnership 2026,Closed Won,13/04/2025,"$15,000","Sophie Wilson : sophie@lifechanger.org.au, Grace Kaur : grace@lifechanger.org.au",,sophie@lifechanger.org.au,NO,MALE,20,4,FALSE,,TRUE,Swapped the closing activity for a longer group discussion.,,
aljzejbf7ny03vk=xtufdj,19B,I would recommend this workshop to other students,AGREE,4,30/11/2025 15:00,FALSE,NKO304H2025,a0uAUguBuQqx9jR,HEALTH,NSW,135 Dubbo Rd,30/11/2025,13:00,15:00,6,001eEYqvNSzPf2v,Summit Secondary College,NSW,Dubbo,-13.421673,138.445168,38,1775,006F3IcNepOR6so,Summit Partnership 2026,Closed Won,13/04/2025,"$15,000","Sophie Wilson : sophie@lifechanger.org.au, Grace Kaur : grace@lifechanger.org.au",,sophie@lifechanger.org.au,NO,MALE,20,4,FALSE,,TRUE,Swapped the closing activity for a longer group discussion.,,
aljzejbf7ny03vk=xtufdj,61A,What is the most valuable thing you have learnt today in the workshop?,The breathing and movement activities really helped me manage stress before exams.,,30/11/2025 15:00,FALSE,NKO304H2025,a0uAUguBuQqx9jR,HEALTH,NSW,171 Dubbo Rd,30/11/2025,13:00,15:00,6,001eEYqvNSzPf2v,Summit Secondary College,NSW,Dubbo,-13.421673,138.445168,38,1775,006F3IcNepOR6so,Summit Partnership 2026,Closed Won,13/04/2025,"$15,000","Sophie Wilson : sophie@lifechanger.org.au, Grace Kaur : grace@lifechanger.org.au",,sophie@lifechanger.org.au,NO,MALE,20,4,FALSE,,TRUE,Swapped the closing activity for a longer group discussion.,,
aljzejbf7ny03vk=xtufdj,62A,Is there anything we could do to make the workshop better?,More of the games and group activities would be good.,,30/11/2025 15:00,FALSE,NKO304H2025,a0uAUguBuQqx9jR,HEALTH,NSW,79 Dubbo Rd,30/11/2025,13:00,15:00,6,001eEYqvNSzPf2v,Summit Secondary College,NSW,Dubbo,-13.421673,138.445168,38,1775,006F3IcNepOR6so,Summit Partnership 2026,Closed Won,13/04/2025,"$15,000","Sophie Wilson : sophie@lifechanger.org.au, Grace Kaur : grace@lifechanger.org.au",,sophie@lifechanger.org.au,NO,MALE,20,4,FALSE,,TRUE,Swapped the closing activity for a longer group discussion.,,
